gameid,date,dh,ejectee,ejecteename,team,job,umpire,umpirename,inning,reason
SLN197305310,05/31/1973,0,andes101,Sparky Anderson,CIN,M,froeb901,Bruce Froemming,1,Call on Field
CHN197306020,06/02/1973,0,evand001,Darrell Evans,ATL,P,varge901,Ed Vargo,9,Call on Field
LAN197306020,06/02/1973,0,bailb103,Bob Bailey,MON,P,pullf901,Frank Pulli,6,Call on Field
LAN197306030,06/03/1973,0,brisd801,Dave Bristol,MON,C,weyel901,Lee Weyer,7,Call on Field
SLN197306030,06/03/1973,0,durol101,Leo Durocher,HOU,M,davis901,Satch Davidson,X,Other
CAL197306050,06/05/1973,0,berrk101,Ken Berry,CAL,P,goetr901,Russ Goetz,7,Call on Field
CAL197306060,06/06/1973,0,cashn101,Norm Cash,DET,P,evanj901,Jim Evans,5,Call on Field
PIT197306060,06/06/1973,0,rookj101,Jim Rooker,PIT,P,varge901,Ed Vargo,6,Balls and Strikes
CLE197306080,06/08/1973,0,lutzj101,Joe Lutz,CLE,C,kunkb101,Bill Kunkel,2,Harrassment
KCA197306080,06/08/1973,0,pinil001,Lou Piniella,KCA,P,phild901,Dave Phillips,2,Balls and Strikes
BAL197306120,06/12/1973,0,poweb101,Boog Powell,BAL,P,kunkb101,Bill Kunkel,7,Call on Field
CAL197306120,06/12/1973,0,kaske101,Eddie Kasko,BOS,M,odomj901,Jim Odom,5,Call on Field
CLE197306130,06/13/1973,0,herzw101,Whitey Herzog,TEX,M,nappl901,Larry Napp,7,Balls and Strikes
MON197306140,06/14/1973,0,zimmd101,Don Zimmer,SDN,M,wendh901,Harry Wendelstedt,6,Call on Field
CAL197306171,06/17/1973,1,houkr101,Ralph Houk,NYA,M,odomj901,Jim Odom,4,Balls and Strikes
CIN197306171,06/17/1973,1,ellid101,Dock Ellis,PIT,P,froeb901,Bruce Froemming,2,Harrassment
OAK197306170,06/17/1973,0,willd104,Dick Williams,OAK,M,evanj901,Jim Evans,8,Call on Field
SLN197306180,06/18/1973,0,folit001,Tim Foli,MON,P,burkk101,Ken Burkhart,5,Harrassment
MIL197306191,06/19/1973,1,lee-b101,Bill Lee,BOS,P,barnl901,Larry Barnett,3,Aggression
MIL197306191,06/19/1973,1,yastc101,Carl Yastrzemski,BOS,P,sprim901,Marty Springstead,3,Call on Field
PIT197306210,06/21/1973,0,berry101,Yogi Berra,NYN,M,gormt101,Tom Gorman,7,Call on Field
NYA197306220,06/22/1973,0,brine101,Ed Brinkman,DET,P,goetr901,Russ Goetz,5,Call on Field
NYA197306220,06/22/1973,0,fowla101,Art Fowler,DET,C,goetr901,Russ Goetz,5,Call on Field
NYA197306220,06/22/1973,0,martb105,Billy Martin,DET,M,goetr901,Russ Goetz,5,Call on Field
BOS197306231,06/23/1973,1,smitr101,Reggie Smith,BOS,P,phild901,Dave Phillips,1,Call on Field
KCA197306242,06/24/1973,2,kirke102,Ed Kirkpatrick,KCA,P,barnl901,Larry Barnett,1,Fighting
MIL197306240,06/24/1973,0,ellij101,John Ellis,CLE,P,chyln901,Nestor Chylak,5,Fighting
MIL197306240,06/24/1973,0,colub101,Bob Coluccio,MIL,P,chyln901,Nestor Chylak,5,Fighting
CLE197306250,06/25/1973,0,howsd101,Dick Howser,NYA,C,dimul901,Lou DiMuro,8,Aggression
HOU197306260,06/26/1973,0,durol101,Leo Durocher,HOU,M,kiblj901,John Kibler,8,Call on Field
CAL197306280,06/28/1973,0,jetej101,Johnny Jeter,CHA,P,deegb901,Bill Deegan,8,Call on Field
CIN197306290,06/29/1973,0,colbn101,Nate Colbert,SDN,P,varge901,Ed Vargo,6,Call on Field
DET197306290,06/29/1973,0,weave801,Earl Weaver,BAL,M,malog901,George Maloney,4,Balls and Strikes
TEX197306302,06/30/1973,2,mckej801,Jack McKeon,KCA,M,deegb901,Bill Deegan,6,Call on Field
PIT197307011,07/01/1973,1,dobyl101,Larry Doby,MON,C,donaa901,Augie Donatelli,5,Call on Field
PIT197307012,07/01/1973,2,hebnr001,Richie Hebner,PIT,P,donaa901,Augie Donatelli,1,Call on Field
PIT197307012,07/01/1973,2,virdb101,Bill Virdon,PIT,M,donaa901,Augie Donatelli,1,Call on Field
BAL197307032,07/03/1973,2,blaip101,Paul Blair,BAL,P,morgh901,Hank Morgenweck,5,Balls and Strikes
BAL197307032,07/03/1973,2,weave801,Earl Weaver,BAL,M,morgh901,Hank Morgenweck,5,Balls and Strikes
CHN197307030,07/03/1973,0,doyld102,Denny Doyle,PHI,P,tatat901,Terry Tata,5,Call on Field
CIN197307030,07/03/1973,0,speic001,Chris Speier,SFN,P,dalej901,Jerry Dale,4,Balls and Strikes
